train,capacity,carriage,length
CRH380A统型重联,1112,,
CRH380B统型重联,1112,,
CRH380BL,1033,16,399.27
CRH380CL,1043,16,400.47
CRH380AL,1028,,
CRH380D重联型,1140,16,430
CRH380A,556,8,
CRH380B,496,8,
CRH380D,570,8,215.3
CRH2A重联型,1226,16,402
CRH2A,613,8,201.4
CRH2C,610,8,
CRH3C,556,8,
CR400BFB,1283,16,439.91
CR400BFA,1193,16,414.26
CR400AF,576,,
CR400BF,576,8,209.06
CRH1AA,613,8,207.89
CRH1A,646,8,213.5
CRH1B,1299,16,426.3
CRH2B,1230,16,401.4
CRH2E,630,15,401.4
CRH3A,613,8,209.75
CRH1E,618,15,428.96
CR200J,720,9,225.48