,Duration,LOS Duration,sample num,编组大小,公交分担,安检模式,编组大小x公交分担
0,122.01,149.02,100,城际列车,2035年,传统安检,城际列车 2035年
1,115.90625,143.79166666666666,96,城际列车,2035年,传统安检,城际列车 2035年
2,126.96551724137932,142.816091954023,87,城际列车,2035年,传统安检,城际列车 2035年
3,135.4795918367347,136.3673469387755,98,城际列车,2035年,传统安检,城际列车 2035年
4,132.53125,159.64583333333334,96,城际列车,2035年,传统安检,城际列车 2035年
5,129.8095238095238,150.86904761904762,84,城际列车,2035年,传统安检,城际列车 2035年
6,126.36666666666666,142.98888888888888,90,城际列车,2035年,传统安检,城际列车 2035年
7,127.58974358974359,132.26923076923077,78,城际列车,2035年,传统安检,城际列车 2035年
8,124.81012658227849,154.1139240506329,79,城际列车,2035年,传统安检,城际列车 2035年
9,124.77011494252874,146.1494252873563,87,城际列车,2035年,传统安检,城际列车 2035年
10,118.70114942528735,135.71264367816093,87,城际列车,2035年,传统安检,城际列车 2035年
11,120.75294117647059,130.45882352941177,85,城际列车,2035年,传统安检,城际列车 2035年
12,124.9375,145.20833333333334,96,城际列车,2035年,传统安检,城际列车 2035年
13,111.8076923076923,143.8846153846154,78,城际列车,2035年,传统安检,城际列车 2035年
0,122.35051546391753,149.44329896907217,97,城际列车,2035年,安检互认,城际列车 2035年
1,122.21875,155.60416666666666,96,城际列车,2035年,安检互认,城际列车 2035年
2,115.33707865168539,119.62921348314607,89,城际列车,2035年,安检互认,城际列车 2035年
3,134.33684210526314,143.8842105263158,95,城际列车,2035年,安检互认,城际列车 2035年
4,122.34782608695652,132.22826086956522,92,城际列车,2035年,安检互认,城际列车 2035年
5,123.15217391304348,140.3586956521739,92,城际列车,2035年,安检互认,城际列车 2035年
6,135.93103448275863,146.42528735632183,87,城际列车,2035年,安检互认,城际列车 2035年
7,122.05263157894737,137.3421052631579,76,城际列车,2035年,安检互认,城际列车 2035年
8,124.5,145.54651162790697,86,城际列车,2035年,安检互认,城际列车 2035年
9,127.52222222222223,155.96666666666667,90,城际列车,2035年,安检互认,城际列车 2035年
10,112.38202247191012,129.53932584269663,89,城际列车,2035年,安检互认,城际列车 2035年
11,118.21951219512195,133.390243902439,82,城际列车,2035年,安检互认,城际列车 2035年
12,126.55102040816327,149.3877551020408,98,城际列车,2035年,安检互认,城际列车 2035年
13,112.14102564102564,157.39743589743588,78,城际列车,2035年,安检互认,城际列车 2035年
0,114.64948453608247,136.75257731958763,97,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
1,128.85858585858585,155.88888888888889,99,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
2,122.13636363636364,131.29545454545453,88,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
3,135.01052631578946,153.32631578947368,95,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
4,126.21978021978022,144.24175824175825,91,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
5,126.91011235955057,143.77528089887642,89,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
6,121.0919540229885,136.6206896551724,87,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
7,123.71621621621621,145.64864864864865,74,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
8,111.53932584269663,137.8988764044944,89,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
9,117.80898876404494,138.31460674157304,89,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
10,117.94505494505495,135.4065934065934,91,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
11,119.66666666666667,122.52564102564102,78,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
12,124.22105263157894,154.97894736842105,95,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
13,114.9873417721519,159.0759493670886,79,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
0,126.88823529411765,113.75294117647059,170,非城际列车,2035年,传统安检,非城际列车 2035年
1,129.3546511627907,115.44767441860465,172,非城际列车,2035年,传统安检,非城际列车 2035年
2,138.4585635359116,132.81767955801104,181,非城际列车,2035年,传统安检,非城际列车 2035年
3,137.48936170212767,115.48404255319149,188,非城际列车,2035年,传统安检,非城际列车 2035年
4,131.81767955801104,131.61325966850828,181,非城际列车,2035年,传统安检,非城际列车 2035年
5,133.00595238095238,119.04166666666667,168,非城际列车,2035年,传统安检,非城际列车 2035年
6,126.30985915492958,114.36619718309859,142,非城际列车,2035年,传统安检,非城际列车 2035年
7,128.77710843373495,109.00602409638554,166,非城际列车,2035年,传统安检,非城际列车 2035年
0,134.63636363636363,119.46666666666667,165,非城际列车,2035年,安检互认,非城际列车 2035年
1,131.15254237288136,112.84180790960453,177,非城际列车,2035年,安检互认,非城际列车 2035年
2,138.5,133.0054945054945,182,非城际列车,2035年,安检互认,非城际列车 2035年
3,133.60846560846562,118.73015873015873,189,非城际列车,2035年,安检互认,非城际列车 2035年
4,135.88823529411764,121.95882352941176,170,非城际列车,2035年,安检互认,非城际列车 2035年
5,129.3939393939394,109.96969696969697,165,非城际列车,2035年,安检互认,非城际列车 2035年
6,131.57692307692307,121.3974358974359,156,非城际列车,2035年,安检互认,非城际列车 2035年
7,131.055900621118,117.2360248447205,161,非城际列车,2035年,安检互认,非城际列车 2035年
0,129.0909090909091,122.7159090909091,176,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
1,128.69101123595505,110.81460674157303,178,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
2,138.76436781609195,132.22988505747125,174,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
3,130.58415841584159,122.73762376237623,202,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
4,132.89940828402368,124.1301775147929,169,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
5,139.05555555555554,124.82716049382717,162,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
6,137.93865030674846,126.44171779141104,163,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
7,129.55974842767296,119.74842767295597,159,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
0,119.18181818181819,170.06993006993008,286,城际列车,2045年,传统安检,城际列车 2045年
1,127.45818181818181,173.23636363636365,275,城际列车,2045年,传统安检,城际列车 2045年
2,122.2720848056537,164.80565371024736,283,城际列车,2045年,传统安检,城际列车 2045年
3,124.99644128113879,168.54804270462634,281,城际列车,2045年,传统安检,城际列车 2045年
4,125.28819444444444,177.06597222222223,288,城际列车,2045年,传统安检,城际列车 2045年
5,129.53256704980842,161.3793103448276,261,城际列车,2045年,传统安检,城际列车 2045年
6,121.33333333333333,176.20212765957447,282,城际列车,2045年,传统安检,城际列车 2045年
7,127.85521885521885,166.5185185185185,297,城际列车,2045年,传统安检,城际列车 2045年
8,126.03691275167785,178.34563758389262,298,城际列车,2045年,传统安检,城际列车 2045年
9,117.7942238267148,160.31046931407943,277,城际列车,2045年,传统安检,城际列车 2045年
10,126.9809885931559,169.52851711026616,263,城际列车,2045年,传统安检,城际列车 2045年
11,123.83561643835617,166.2876712328767,292,城际列车,2045年,传统安检,城际列车 2045年
12,122.25089605734767,166.168458781362,279,城际列车,2045年,传统安检,城际列车 2045年
13,111.77394636015326,154.74329501915707,261,城际列车,2045年,传统安检,城际列车 2045年
0,120.44680851063829,163.75177304964538,282,城际列车,2045年,安检互认,城际列车 2045年
1,134.6315789473684,188.73684210526315,266,城际列车,2045年,安检互认,城际列车 2045年
2,127.7751677852349,174.63758389261744,298,城际列车,2045年,安检互认,城际列车 2045年
3,118.80970149253731,160.27238805970148,268,城际列车,2045年,安检互认,城际列车 2045年
4,128.53003533568904,179.9505300353357,283,城际列车,2045年,安检互认,城际列车 2045年
5,131.8118081180812,174.09963099630997,271,城际列车,2045年,安检互认,城际列车 2045年
6,122.7394366197183,167.50352112676057,284,城际列车,2045年,安检互认,城际列车 2045年
7,125.47651006711409,173.24496644295303,298,城际列车,2045年,安检互认,城际列车 2045年
8,125.54635761589404,169.8841059602649,302,城际列车,2045年,安检互认,城际列车 2045年
9,121.93898305084745,164.71525423728812,295,城际列车,2045年,安检互认,城际列车 2045年
10,131.05384615384617,175.2,260,城际列车,2045年,安检互认,城际列车 2045年
11,124.06737588652483,162.60283687943263,282,城际列车,2045年,安检互认,城际列车 2045年
12,122.11447811447812,177.91919191919192,297,城际列车,2045年,安检互认,城际列车 2045年
13,105.01923076923077,138.17307692307693,260,城际列车,2045年,安检互认,城际列车 2045年
0,122.13620071684588,165.1326164874552,279,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
1,131.15116279069767,181.43023255813952,258,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
2,121.10033444816054,158.08361204013377,299,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
3,123.04135338345864,168.00751879699249,266,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
4,129.43928571428572,181.51785714285714,280,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
5,131.17216117216117,170.1868131868132,273,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
6,120.33699633699634,165.13186813186815,273,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
7,129.03125,179.31944444444446,288,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
8,124.15946843853821,174.80066445182723,301,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
9,126.11032028469751,169.1779359430605,281,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
10,126.06015037593986,163.8233082706767,266,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
11,127.50357142857143,170.57142857142858,280,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
12,127.41638225255973,189.2764505119454,293,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
13,113.39463601532567,167.7816091954023,261,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
0,151.40070921985816,157.15070921985816,564,非城际列车,2045年,传统安检,非城际列车 2045年
1,147.2745490981964,160.53306613226454,499,非城际列车,2045年,传统安检,非城际列车 2045年
2,139.7290909090909,153.33818181818182,550,非城际列车,2045年,传统安检,非城际列车 2045年
3,143.00760456273764,154.36882129277566,526,非城际列车,2045年,传统安检,非城际列车 2045年
4,134.956106870229,144.91221374045801,524,非城际列车,2045年,传统安检,非城际列车 2045年
5,139.19750889679716,155.27224199288256,562,非城际列车,2045年,传统安检,非城际列车 2045年
6,140.81496062992127,148.10629921259843,508,非城际列车,2045年,传统安检,非城际列车 2045年
7,142.819209039548,146.3653483992467,531,非城际列车,2045年,传统安检,非城际列车 2045年
0,145.77477477477478,156.32792792792793,555,非城际列车,2045年,安检互认,非城际列车 2045年
1,143.5728155339806,154.7514563106796,515,非城际列车,2045年,安检互认,非城际列车 2045年
2,142.05649717514123,153.16760828625235,531,非城际列车,2045年,安检互认,非城际列车 2045年
3,146.60486891385767,157.7921348314607,534,非城际列车,2045年,安检互认,非城际列车 2045年
4,146.94230769230768,161.27884615384616,520,非城际列车,2045年,安检互认,非城际列车 2045年
5,146.75313059033988,167.69051878354205,559,非城际列车,2045年,安检互认,非城际列车 2045年
6,141.14426877470356,152.34584980237153,506,非城际列车,2045年,安检互认,非城际列车 2045年
7,145.2377358490566,149.08867924528303,530,非城际列车,2045年,安检互认,非城际列车 2045年
0,141.53072625698323,149.54748603351956,537,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
1,141.82642998027615,149.07889546351086,507,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
2,134.14392523364486,152.14953271028037,535,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
3,142.07129455909944,153.67917448405254,533,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
4,137.9347014925373,149.5839552238806,536,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
5,136.87432675044883,154.75224416517057,557,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
6,142.412915851272,151.07240704500978,511,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
7,147.69844357976655,151.99805447470817,514,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
